Date,Total,ICE,CBP,Total,ICE,CBP
09/21/2025,"59,762","46,015","13,747",100%,77%,23%
09/07/2025,"58,766","44,844","13,922",100%,76%,24%
08/24/2025,"61,226","46,595","14,631",100%,76%,24%
08/10/2025,"59,380","44,811","14,569",100%,75%,25%
07/27/2025,"56,945","42,074","14,871",100%,74%,26%
07/13/2025,"56,816","41,349","15,467",100%,73%,27%
06/29/2025,"57,861","41,447","16,414",100%,72%,28%
06/15/2025,"56,397","39,312","17,085",100%,70%,30%
06/01/2025,"51,302","33,976","17,326",100%,66%,34%
05/18/2025,"48,870","31,095","17,775",100%,64%,36%
05/04/2025,"49,005","30,420","18,585",100%,62%,38%
04/20/2025,"49,184","30,039","19,145",100%,61%,39%
04/06/2025,"47,928","28,688","19,240",100%,60%,40%
03/23/2025,"47,892","27,838","20,054",100%,58%,42%
03/09/2025,"46,269","25,732","20,537",100%,56%,44%
02/23/2025,"43,759","22,622","21,137",100%,52%,48%
02/09/2025,"41,169","19,304","21,865",100%,47%,53%
01/26/2025,"39,238","14,882","24,356",100%,38%,62%
01/12/2025,"39,703","14,557","25,146",100%,37%,63%
12/29/2024,"39,152","14,320","24,832",100%,37%,63%
12/15/2024,"38,406","14,292","24,114",100%,37%,63%
12/01/2024,"38,728","14,073","24,655",100%,36%,64%
11/03/2024,"38,863","13,902","24,961",100%,36%,64%
09/08/2024,"37,395","13,561","23,834",100%,36%,64%
08/25/2024,"36,223","13,508","22,715",100%,37%,63%
08/11/2024,"36,326","13,450","22,876",100%,37%,63%
07/14/2024,"37,004","13,252","23,752",100%,36%,64%
06/30/2024,"37,509","12,831","24,678",100%,34%,66%
06/16/2024,"38,525","12,841","25,684",100%,33%,67%
06/02/2024,"37,360","12,479","24,881",100%,33%,67%
05/19/2024,"36,571","12,397","24,174",100%,34%,66%
05/05/2024,"36,603","12,336","24,267",100%,34%,66%
04/21/2024,"34,373","12,083","22,290",100%,35%,65%
04/07/2024,"34,580","11,803","22,777",100%,34%,66%
03/24/2024,"36,931","11,683","25,248",100%,32%,68%
03/10/2024,"39,111","11,488","27,623",100%,29%,71%
02/25/2024,"39,175","11,287","27,888",100%,29%,71%
02/11/2024,"38,258","11,237","27,021",100%,29%,71%
01/28/2024,"38,498","10,955","27,543",100%,28%,72%
01/13/2024,"37,782","10,879","26,903",100%,29%,71%
12/31/2023,"37,131","10,870","26,261",100%,29%,71%
12/17/2023,"36,263","10,388","25,875",100%,29%,71%
12/03/2023,"36,755","10,270","26,485",100%,28%,72%
11/19/2023,"39,013","10,098","28,915",100%,26%,74%
